Pos,Team Num,Country,NOC,Start Num,Time,Leg 1,Leg 2,Leg 3,Leg 4
1,Team,France,FRA,6,01:27:14,00:20:38,00:22:57,00:20:58,00:22:43
2,Team,Great Britain,GBR,1,01:27:37,00:20:29,00:23:21,00:21:37,00:22:12
3,Team,United States,USA,3,01:27:44,00:20:53,00:22:59,00:21:06,00:22:46
4,Team,New Zealand,NZL,4,01:27:53,00:20:29,00:23:26,00:20:59,00:23:01
5,Team,Canada,CAN,11,01:29:06,00:20:52,00:23:03,00:21:28,00:23:44
6,Team,Switzerland,SUI,8,01:29:11,00:20:41,00:23:12,00:21:35,00:23:44
7,Team,Denmark,DEN,12,01:29:22,00:20:47,00:22:45,00:21:51,00:24:00
8,Team,Portugal,POR,14,01:29:32,00:20:55,00:23:12,00:21:41,00:23:46
9,Team,Italy,ITA,2,01:29:34,00:20:57,00:24:03,00:21:26,00:23:09
10,Team,Australia,AUS,5,01:29:37,00:20:43,00:23:25,00:22:16,00:23:14
11,Team,Spain,ESP,10,01:29:59,00:20:41,00:23:25,00:21:43,00:24:12
12,Team,Norway,NOR,16,01:31:19,00:20:49,00:22:57,00:23:33,00:24:02
13,Team,Mexico,MEX,17,01:31:56,00:21:28,00:24:07,00:21:51,00:24:31
14,Team,Netherlands,NED,9,01:31:57,00:21:50,00:24:20,00:21:46,00:24:03
